,AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
0,2011,5001,Medellin,5,Antioquia,3759,Medellin,386466.0,108.73,108.5,79.8,107.2,94.8,59.7,125.4,95.4,127.3,137.5,111.2,31.55,97.37,3.69,3.48,3.43,4.32,2.95,96.28,96.52,96.57,95.67,96.88,0.03,0.0,0.0,0.01,0.17,4.57,0.15,3.26,7.44,2.95
1,2011,5002,Abejorral,5,Antioquia,3758,Antioquia (ETC),4146.0,97.81,97.8,50.6,111.3,74.2,36.3,107.4,76.2,132.9,103.0,69.0,21.02,68.66,6.26,7.63,5.46,6.63,8.49,92.03,92.37,93.31,90.41,90.33,1.7,0.0,1.23,2.96,1.18,0.89,0.0,0.85,1.08,1.23
2,2011,5004,Abriaqui,5,Antioquia,3758,Antioquia (ETC),483.0,88.61,88.6,66.7,93.2,79.3,35.3,103.5,82.1,107.4,116.6,78.8,19.15,75.0,0.81,4.25,0.49,0.52,2.99,91.9,100.0,98.04,84.82,89.55,7.29,0.0,1.47,14.66,7.46,1.69,3.13,1.47,2.22,0.0
4,2011,5030,Amaga,5,Antioquia,3758,Antioquia (ETC),6631.0,78.65,78.7,55.3,76.3,70.7,38.9,87.7,74.3,89.8,96.3,73.2,25.05,83.33,4.16,2.39,3.23,6.12,3.21,86.86,97.37,90.04,79.42,89.34,8.99,0.24,6.73,14.46,7.45,0.42,0.0,0.24,0.91,0.0
6,2011,5034,Andes,5,Antioquia,3758,Antioquia (ETC),10244.0,84.45,84.5,65.1,83.7,62.0,32.2,91.7,81.1,107.5,89.9,61.4,24.43,93.44,3.96,3.06,4.3,4.36,1.68,95.46,96.94,95.12,95.61,95.63,0.58,0.0,0.58,0.04,2.69,5.41,0.73,5.53,6.9,4.11
7,2011,5036,Angelopolis,5,Antioquia,3758,Antioquia (ETC),1707.0,78.85,78.9,56.2,82.4,59.9,26.4,82.8,77.4,105.0,80.4,40.1,19.57,100.0,8.14,6.6,6.1,13.17,2.44,86.27,93.4,90.29,77.32,90.24,5.59,0.0,3.61,9.5,7.32,0.71,0.0,0.7,1.08,0.0
8,2011,5038,Angostura,5,Antioquia,3758,Antioquia (ETC),3344.0,81.7,81.7,58.5,92.6,49.6,20.3,90.8,72.1,122.2,78.8,50.1,20.29,86.49,5.32,6.45,4.79,5.22,8.64,91.85,93.55,91.49,92.85,89.09,2.83,0.0,3.73,1.93,2.27,3.92,0.0,5.16,1.92,2.96
9,2011,5040,Anori,5,Antioquia,3758,Antioquia (ETC),3983.0,92.09,92.1,82.9,110.4,51.1,18.1,100.7,85.7,145.6,79.3,44.8,20.09,63.93,6.26,4.63,8.33,2.49,3.81,92.16,95.37,89.53,96.52,95.76,1.58,0.0,2.14,1.0,0.42,0.48,0.0,0.69,0.0,0.0
10,2011,5042,Santafe de Antioquia,5,Antioquia,3758,Antioquia (ETC),5963.0,84.59,84.6,50.5,84.3,62.4,31.7,97.8,72.6,112.3,101.6,68.6,23.04,90.91,4.75,3.31,4.12,6.44,4.37,89.91,96.69,89.74,88.09,91.5,5.34,0.0,6.14,5.47,4.13,3.25,0.0,2.36,6.09,1.94
12,2011,5045,Apartado,5,Antioquia,7692,Apartado,45592.0,66.51,66.5,53.2,68.9,48.3,24.7,78.7,66.2,87.0,81.6,57.5,26.21,65.91,4.81,2.46,4.21,6.03,5.87,94.13,97.54,95.31,91.99,92.06,1.06,0.0,0.47,1.98,2.07,1.86,0.06,1.81,2.67,0.95
13,2011,5051,Arboletes,5,Antioquia,3758,Antioquia (ETC),10673.0,84.85,84.9,71.1,86.0,55.9,26.7,103.8,87.6,116.3,107.0,72.7,26.36,47.22,3.18,6.96,2.9,2.95,2.29,93.6,93.04,94.0,93.31,92.79,3.23,0.0,3.1,3.74,4.91,2.25,0.66,2.41,2.85,0.73
15,2011,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),1097.0,87.97,88.0,67.4,81.2,72.7,29.8,98.8,83.2,108.3,109.5,63.4,17.79,100.0,5.19,5.41,6.5,4.12,2.11,89.01,94.59,86.38,93.24,83.16,5.79,0.0,7.11,2.65,14.74,4.21,0.0,4.3,6.18,0.0
16,2011,5079,Barbosa,5,Antioquia,3758,Antioquia (ETC),10933.0,82.05,82.1,57.9,79.5,71.8,42.2,88.1,75.0,96.0,92.6,66.7,29.49,84.0,3.01,2.13,2.6,3.53,3.56,87.55,97.87,89.85,84.0,83.43,9.44,0.0,7.55,12.47,13.01,1.02,0.0,0.54,2.07,0.57
